Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.,Helen Keller,"['Hope', 'Achievement', 'Faith', 'Confidence']"
"The will to win, the desire to succeed, the urge to reach your full potential... these are the keys that will unlock the door to personal excellence.",Confucius,"['Win', 'Excellence', 'Door', 'Will']"
With the new day comes new strength and new thoughts.,Eleanor Roosevelt,"['Strength', 'Day', 'Thoughts', 'New Day']"
Only I can change my life. No one can do it for me.,Carol Burnett,"['Life', 'Change', 'Me', 'My Life']"
My Life,"Look up at the stars and not down at your feet. Try to make sense of what you see, and wonder about what makes the universe exist. Be curious.","['Stephen Hawking', 'Stars', 'You', 'Look']"
Life is 10% what happens to you and 90% how you react to it.,Charles R. Swindoll,"['Life', 'You', 'React', 'How']"
Happens,Well done is better than well said.,"['Benjamin Franklin', 'Better', 'Well Done', 'Done']"
Said,"Quality is not an act, it is a habit.","['Aristotle', 'Quality', 'Habit', 'Act']"
Top 10,Motivational,"['Quotes', 'View the list', 'Keep your eyes on the stars, and your feet on the ground.', 'Theodore Roosevelt']"
Theodore Roosevelt,Eyes,"['Stars', 'Feet', 'Your', 'Ground']"
"Beginning today, treat everyone you meet as if they were going to be dead by midnight. Extend to them all the care, kindness and understanding you can muster, and do it with no thought of any reward. Your life will never be the same again.",Og Mandino,"['Life', 'Kindness', 'Today', 'You']"
"Good, better, best. Never let it rest. 'Til your good is better and your better is best.",St. Jerome,"['Best', 'Good', 'Rest', 'Better']"
"The more man meditates upon good thoughts, the better will be his world and the world at large.",Confucius,"['Good', 'Man', 'Thoughts', 'World']"
Knowing is not enough; we must apply. Willing is not enough; we must do.,Johann Wolfgang von Goethe,"['Enough', 'Knowing', 'Must', 'Willing']"
Be kind whenever possible. It is always possible.,Dalai Lama,"['Be Kind', 'Always', 'Possible', 'Kind']"
"I know where I'm going and I know the truth, and I don't have to be what you want me to be. I'm free to be what I want.",Muhammad Ali,"['Me', 'Truth', 'You', 'Free']"
"The harder the conflict, the more glorious the triumph.",Thomas Paine,"['Conflict', 'More', 'Triumph', 'Glorious']"
Failure will never overtake me if my determination to succeed is strong enough.,Og Mandino,"['Me', 'Failure', 'Determination', 'Strong']"
"If you fell down yesterday, stand up today.",H. G. Wells,"['Today', 'You', 'Stand Up', 'Yesterday']"
"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.",Bradley Whitford,"['Life', 'Love', 'Hope', 'Future']"
Do the difficult things while they are easy and do the great things while they are small. A journey of a thousand miles must begin with a single step.,Lao Tzu,"['Journey', 'Great', 'Step', 'Easy']"
"If you can dream it, you can do it.",Walt Disney,"['You', 'You Can Do It', 'Dream', 'Dream It']"
Dream It,Accept the challenges so that you can feel the exhilaration of victory.,"['George S. Patton', 'You', 'Challenges', 'Victory']"
